CompanyCode,DateOfAnnouncement,AGMDate,YearEnding,Purpose,RecordDate,BookClosureStartDate,BookClosureEndDate,Remarks,DeleteFlag,ModifiedDate
12120089.0,2022-06-28,,2022-03-31,AGM,,2022-07-27,2022-07-27,,False,2022-07-29 18:49:40
12540271.0,2022-06-27,2022-07-20,2022-03-31,AGM,,2022-07-16,2022-07-20,,False,2022-07-29 16:22:15
13030012.0,2022-06-28,2022-08-03,2022-03-31,AGM,,,,,False,2022-07-29 18:58:22
14010042.0,2022-06-28,,2022-03-31,AGM,,2022-07-15,2022-07-21,,False,2022-07-29 18:51:12
17024746.0,2022-06-27,2022-07-27,2022-03-31,AGM,,,,,False,2022-07-29 16:19:30
17040832.0,2022-06-27,2022-07-27,,POM,,,,,False,2022-07-29 16:25:12
17200007.0,2022-06-28,2022-07-25,2022-03-31,AGM,,,,,False,2022-07-29 18:58:55
12090004.0,2022-06-28,2022-08-02,,POM,,,,,False,2022-07-29 19:02:07
14610003.0,2022-06-27,2022-07-28,2022-03-31,AGM,,2022-07-22,2022-07-28,,False,2022-07-29 16:19:04
15210746.0,2022-06-28,2022-07-28,2022-03-31,AGM,,,,,False,2022-07-29 19:12:09
17010013.0,2022-06-28,2022-08-04,2022-03-31,AGM,,,,,False,2022-07-29 19:14:13
12540048.0,2022-05-23,2022-08-03,2022-03-31,AGM,,2022-07-28,2022-08-03,,False,2022-07-29 14:52:43
12540050.0,2022-06-28,,2022-03-31,AGM,,2022-08-03,2022-08-09,,False,2022-07-29 18:52:18
13020026.0,2022-04-29,2022-07-21,2022-03-31,AGM,,2022-07-07,2022-07-21,,False,2022-07-29 16:20:06
13240168.0,2022-06-28,,2022-03-31,AGM,,2022-07-22,2022-07-29,,False,2022-07-29 18:45:45
11250760.0,2022-06-27,2022-07-29,2022-03-31,AGM,,2022-07-22,2022-07-29,,False,2022-07-29 16:22:29
11320117.0,2022-06-28,2022-07-20,2022-03-31,AGM,,2022-07-14,2022-07-20,,False,2022-07-29 18:57:23
12060011.0,2022-06-27,2022-07-29,2022-03-31,AGM,,,,,False,2022-07-29 16:23:12
12060013.0,2022-06-28,2022-08-05,2022-03-31,AGM,,2022-07-19,2022-07-29,,False,2022-07-29 19:00:50
12060093.0,2022-06-28,2022-08-05,2022-03-31,AGM,,2022-07-30,2022-08-05,,False,2022-07-29 19:01:37
12060104.0,2022-06-28,2022-07-26,2022-03-31,AGM,,,,,False,2022-07-29 19:01:22
13010056.0,2022-06-28,,2022-03-31,AGM,,2022-07-19,2022-07-26,,False,2022-07-29 18:51:43
13560017.0,2022-06-28,,2022-03-31,AGM,,2022-09-09,2022-09-23,,False,2022-07-29 18:48:57
14060295.0,2022-06-21,2022-07-25,2022-03-31,AGM,,2022-07-19,2022-07-25,,False,2022-07-29 18:50:09
14070088.0,2022-06-28,,2022-03-31,AGM,,2022-07-22,2022-07-29,,False,2022-07-29 18:50:41
15110354.0,2022-06-27,2022-07-25,2022-03-31,AGM,2022-07-18,,,,False,2022-07-29 16:20:51
15130004.0,2022-06-27,2022-07-29,2022-03-31,AGM,,2022-07-22,2022-07-29,,False,2022-07-29 16:18:07
15150124.0,2022-06-28,2022-07-26,2022-03-31,AGM,,,,,False,2022-07-29 19:11:44
11510015.0,2022-06-28,,2022-03-31,AGM,,2022-07-20,2022-07-26,,False,2022-07-29 18:47:38
11600096.0,2022-06-27,2022-07-28,,POM,,,,,False,2022-07-29 16:24:27
13050010.0,2022-06-28,2022-07-25,,EGM,,2022-07-18,2022-07-25,,False,2022-07-29 19:12:44
13190210.0,2022-06-27,2022-07-20,2022-03-31,AGM,,2022-07-16,2022-07-16,,False,2022-07-29 16:22:01
13520388.0,2022-06-27,2022-07-29,,POM,,,,,False,2022-07-29 16:21:41
14080119.0,2022-06-27,2022-07-21,2022-03-31,AGM,,,,,False,2022-07-29 16:15:42
14080153.0,2022-06-27,2022-07-16,2022-03-31,AGM,,2022-07-10,2022-07-16,,False,2022-07-29 16:22:41
15630005.0,2022-06-28,2022-07-28,2022-03-31,AGM,,2022-07-27,2022-07-28,,False,2022-07-29 19:13:22
14010219.0,2022-06-27,2022-07-21,2022-03-31,AGM,,2022-07-15,2022-07-21,,False,2022-07-29 16:23:45
14010222.0,2022-06-28,2022-07-22,,EGM,,,,,False,2022-07-29 19:14:33
14060121.0,2022-06-27,2022-07-22,2022-03-31,AGM,,2022-07-16,2022-07-22,,False,2022-07-29 16:17:35
16610181.0,2022-06-27,2022-07-28,2022-03-31,AGM,,,,,False,2022-07-29 16:21:08
11060011.0,2022-06-27,2022-07-19,2022-03-31,AGM,,2022-07-18,2022-07-19,,False,2022-07-29 16:24:48
11510029.0,2022-06-28,2022-07-27,2022-03-31,AGM,,2022-07-21,2022-07-27,,False,2022-07-29 19:02:23
11510053.0,2022-06-28,2022-08-03,2022-03-31,AGM,,,,,False,2022-07-29 19:14:57
11510100.0,2022-06-28,2022-07-28,2022-03-31,AGM,,2022-07-22,2022-07-28,,False,2022-07-29 19:15:18
13020094.0,2022-06-28,,2022-03-31,AGM,,2022-07-21,2022-07-27,,False,2022-07-29 18:42:55
13190069.0,2022-06-27,2022-07-29,2022-03-31,AGM,,2022-07-23,2022-07-29,,False,2022-07-29 16:18:24
15510026.0,2022-06-28,,2022-03-31,AGM,,2022-09-09,2022-09-23,,False,2022-07-29 18:46:44
15560010.0,2022-06-27,2022-07-18,2022-03-31,AGM,,2022-07-12,2022-07-18,,False,2022-07-29 16:19:43
16030022.0,2022-06-27,2022-07-30,2022-03-31,AGM,,2022-07-23,2022-07-30,,False,2022-07-29 16:23:30
13150256.0,2022-06-28,2022-07-25,2022-03-31,AGM,,2022-07-19,2022-07-25,,False,2022-07-29 19:15:34
14094548.0,2022-06-27,2022-07-18,2022-03-31,AGM,,2022-07-12,2022-07-18,,False,2022-07-29 16:18:36
14094552.0,2022-06-27,2022-07-19,2022-03-31,AGM,,2022-07-13,2022-07-19,,False,2022-07-29 16:20:30
14094590.0,2022-06-28,2022-07-25,,EGM,,,,,False,2022-07-29 18:59:43
